 id  | question_id | user_id | answer_text |         submitted_at          
-----+-------------+---------+-------------+-------------------------------
 153 |           1 |       3 | false       | 2026-04-13 15:32:51.388748+00
 154 |           2 |       3 | false       | 2026-04-13 15:32:51.388748+00
 155 |           3 |       3 | false       | 2026-04-13 15:32:51.388748+00
 156 |           4 |       3 | false       | 2026-04-13 15:32:51.388748+00
 157 |           5 |       3 | true        | 2026-04-13 15:32:51.388748+00
 158 |           6 |       3 | false       | 2026-04-13 15:32:51.388748+00
 159 |           7 |       3 | true        | 2026-04-13 15:32:51.388748+00
 160 |           8 |       3 | false       | 2026-04-13 15:32:51.388748+00
 161 |           9 |       3 | false       | 2026-04-13 15:32:51.388748+00
 162 |          10 |       3 | false       | 2026-04-13 15:32:51.388748+00
 163 |          11 |       3 | false       | 2026-04-13 15:32:51.388748+00
 164 |          12 |       3 | false       | 2026-04-13 15:32:51.388748+00
 165 |          13 |       3 | false       | 2026-04-13 15:32:51.388748+00
 166 |          14 |       3 | true        | 2026-04-13 15:32:51.388748+00
 167 |          15 |       3 | false       | 2026-04-13 15:32:51.388748+00
 168 |          16 |       3 | false       | 2026-04-13 15:32:51.388748+00
 169 |          17 |       3 | false       | 2026-04-13 15:32:51.388748+00
 170 |          18 |       3 | false       | 2026-04-13 15:32:51.388748+00
 171 |          19 |       3 | false       | 2026-04-13 15:32:51.388748+00
 172 |          20 |       3 | false       | 2026-04-13 15:32:51.388748+00
 173 |          21 |       3 | true        | 2026-04-13 15:32:51.388748+00
 174 |          22 |       3 | true        | 2026-04-13 15:32:51.388748+00
 175 |          23 |       3 | true        | 2026-04-13 15:32:51.388748+00
 176 |          24 |       3 | true        | 2026-04-13 15:32:51.388748+00
 177 |          25 |       3 | false       | 2026-04-13 15:32:51.388748+00
 178 |          26 |       3 | false       | 2026-04-13 15:32:51.388748+00
 179 |          27 |       3 | false       | 2026-04-13 15:32:51.388748+00
 180 |          28 |       3 | false       | 2026-04-13 15:32:51.388748+00
 181 |          29 |       3 | true        | 2026-04-13 15:32:51.388748+00
 182 |          30 |       3 | false       | 2026-04-13 15:32:51.388748+00
 183 |          31 |       3 | false       | 2026-04-13 15:32:51.388748+00
 184 |          32 |       3 | false       | 2026-04-13 15:32:51.388748+00
 185 |          33 |       3 | false       | 2026-04-13 15:32:51.388748+00
 186 |          34 |       3 | false       | 2026-04-13 15:32:51.388748+00
 187 |          35 |       3 | false       | 2026-04-13 15:32:51.388748+00
 188 |          36 |       3 | true        | 2026-04-13 15:32:51.388748+00
(36 rows)

